project_id;cost;votes;name;category;selected;district
10;900000;10857;Toalety we Wrocławskich parkach i na terenach rekreacyjnych.;greenery/recreation;1;Plac Grunwaldzki
50;1000000;10796;"Zielona rowerowo-piesza obwodnica Wrocławia; ETAP II – odcinki: Tarnogaj – Gaj - Wojszyce –Jagodno - Krzyki –Borek –Grabiszyn –Grabiszynek –Gajowice –Muchobór Mały.";walking/cycling infrastructure;1;Przedmieście Oławskie,Psie Pole-Zawidawie
18;1000000;8640;Rowerowy Wrocław 2017;walking/cycling infrastructure;1;Przedmieście Oławskie,Psie Pole-Zawidawie
675;1000000;5398;Zieleń dla Wrocławia – parki kieszonkowe, nasadzenia, enklawy zieleni w całym mieście!;greenery/recreation;1;Karłowice-Różanka
260;70000;4998;Budki dla kotów wolno żyjących;other;1;Karłowice-Różanka
550;1000000;4468;Pieszo z Brochowa - uzupełnienie brakującego chodnika na ul. I. Mościckiego, Gazowej i Karwińskiej (dotyczy przede wszystkim wiaduktu nad torami łączącymi te trzy ulice);walking/cycling infrastructure;0;Borek,Stare Miasto
12;1000000;4149;Bulwar Fizyków - naukowy plac zabaw w przestrzeni miejskiej (ogólnomiejski);redevelopment;0;Karłowice-Różanka
159;1000000;4098;Baza małych astronautów czyli kosmiczny plac zabaw w Mini Parku przy ul. F. Hynka.;playgrounds;0;Tarnogaj
656;1000000;4008;Toalety miejskie w parkach na miarę Wrocławia.;greenery/recreation;0;Ołbin
499;1000000;3949;"""Konikowo"" - Budowa autorskiego placu zabaw na Wrocławskim Torze Wyścigów Konnych - Partynice";playgrounds;0;Przedmieście Oławskie,Tarnogaj
751;1000000;3788;Modernizacja ulicy DRZEWIECKIEGO;roads;0;Huby
451;1000000;3368;Wrocławska Arena Sportu - strefa A;sport;0;Wojszyce
284;100000;3362;Zielona Obwodnica Wrocławia - drzewa i pnącza na wrocławskich osiedlach;greenery/recreation;0;Ołtaszyn
345;1000000;2484;Park Rędziński;greenery/recreation;0;Brochów
41;1000000;2123;Fontanna Neptuna na Placu Nowy Targ;other;0;Ołbin
16;430000;2113;Remont zabytkowego autobusu Fredruś;other;0;Brochów
716;1000000;2098;Park Grabiszyński - bezpieczne dojście! Remont chodników przy ul. Odkrywców (od al. Hallera do ul. Ślusarskiej) oraz chodników prowadzących do parku.;walking/cycling infrastructure;0;Stare Miasto
590;1000000;2001;Zagospodarowanie terenu kąpieliska na Oporowie, w celu udostępnienia, jako otwarty teren rekreacji;greenery/recreation;0;Leśnica,Maślice
43;1000000;1973;Zielona Promenada przez Krzyki Etap I;redevelopment;0;Brochów
46;1000000;1839;Rondo Reagana na poziomie! Budowa peronów na Rondzie Reagana.;public transit;0;Karłowice-Różanka
514;250000;1737;Pszczoły w mieście – hotele dla zapylaczy z placem do wypoczynku pomiędzy ulicami Hermanowską i Chociebuską;greenery/recreation;0;Grabiszyn-Grabiszynek,Pilczyce-Kozanów-Popowice Płn.
553;1000000;1724;Sieć parków we Wrocławiu - Psie Pole - Zawidawie 1;greenery/recreation;0;Muchobór Wielki
68;750000;1705;Zielona trasa biegowo-pieszo-rowerowa z Ołtaszyna do centrum (z modyfikacjami);walking/cycling infrastructure;0;Tarnogaj
608;1000000;1613;Sportowa Jantarowa;greenery/recreation;0;Brochów
258;750000;1566;Rewitalizacja ul. Ruskiej;redevelopment;0;Widawa,Lipa Piotrowska, Widawa
555;1000000;1512;Sieć parków we Wrocławiu – Psie Pole - Zawidawie 2;greenery/recreation;0;Przedmieście Oławskie
83;650000;1455;Bezpieczne i przyjazne drogi we Wrocławiu - światła spowalniające zamiast fotoradarów w całym mieście;roads;0;Karłowice-Różanka,Huby
680;500000;1358;Ścieżki pieszo-rowerowe przy ul. Opatowickiej.;walking/cycling infrastructure;0;Klecina, Krzyki-Partynice, Oporów,Krzyki-Partynice, Klecina
372;350000;1331;Połączmy Psie Pole i Zakrzów – łącznik pieszo-rowerowy;walking/cycling infrastructure;0;Przedmieście Oławskie
688;100000;1092;Miodowe łąki we Wrocławiu;greenery/recreation;0;Strachocin-Swojczyce-Wojnów
668;750000;1060;"""Park & ride"" przy pętli Pilczyce/Stadion Wrocław";roads;0;Leśnica
685;250000;990;Miejskie wyspy zieleni;greenery/recreation;0;Przedmieście Oławskie
694;320000;943;Zielone przystanki w centrum miasta;greenery/recreation;0;Pilczyce-Kozanów-Popowice Płn.,Szczepin
371;1000000;922;Bezpieczniej na skrzyżowaniu al. Sobieskiego i ul. Wilanowskiej;roads;0;Tarnogaj
508;750000;882;Kępa Mieszczańska –park kieszonkowy z stacją street workout przy Moście Dmowskiego we Wrocławiu;greenery/recreation;0;Strachocin-Swojczyce-Wojnów,Zacisze-Zalesie-Szczytniki
346;250000;765;Odnowienie szpetnych wiaduktów kolejowych;greenery/recreation;0;Tarnogaj
358;350000;619;Toskania we Wrocławiu: donice z kwiatami wokół wrocławskiego Rynku.;greenery/recreation;0;Tarnogaj
594;150000;587;Las sekwoi, drzewa i krzewy owocowe;greenery/recreation;0;Przedmieście Oławskie
332;420000;544;Infrastruktura przystankowa na ul. Dworcowej;public transit;0;Przedmieście Oławskie,Psie Pole-Zawidawie
334;250000;480;infrastruktura przystankowa na ul. Dawida;public transit;0;Ołbin
35;500000;433;Wsiadanie na poziomie-budowa przystanków wiedeńskich Górnickiego;public transit;0;Ołbin
620;200000;418;Wrocławskie parki dostępne dla wszystkich.;greenery/recreation;0;Muchobór Wielki
203;150000;415;Oczyszczenie z wojennego osmolenia i sadzy piaskowcowych medalionów z herbem Wrocławia na starych budynkach szkół,szpitali i innych budynkach publicznych;other;0;Krzyki-Partynice, Klecina,Klecina, Krzyki-Partynice
735;50000;266;Rampa dla rowerów i wózków przy wyjściu z ulicy Sopockiej na Wały nad Odrą;walking/cycling infrastructure;0;Pracze Odrzańskie,Maślice
464;250000;263;Szachy plenerowe dużego gabarytu w centrum miasta Wrocławia;greenery/recreation;0;Przedmieście Oławskie
422;150000;236;"Akcja Plac - Gry uliczne ""Oswajamy beton""";greenery/recreation;0;Ołbin
406;600000;178;Budowa wrocławskiej wypożyczalni rowerów integracyjnych typu handbike wraz z odpowiednim zapleczem socjalno-sanitarnym;walking/cycling infrastructure;0;Tarnogaj
629;130000;156;Wrocław na dotknięcie ręki – tylfograficzne mapy wybranych rejonów Wrocławia.;other;0;Stare Miasto, Przedmieście Świdnickie,Przedmieście Świdnickie
720;50000;118;1997;other;0;Ołtaszyn
677;150000;83;Polegiwacz - wędrujący mebel do odpoczynku i zabawy;greenery/recreation;0;Ołbin,Oporów