top_k;accuracy;recall;precision;f1_score;jaccard_index;label
1;0.9890710382513661;0.0;0.0;0.0;0.0;tls_knn_pca2_full_1
2;0.9781420765027322;0.0;0.0;0.0;0.0;tls_knn_pca2_full_1
3;0.9672131147540983;0.0;0.0;0.0;0.0;tls_knn_pca2_full_1
4;0.9562841530054644;0.0;0.0;0.0;0.0;tls_knn_pca2_full_1
5;0.9562841530054644;0.2;0.2;0.20000000000000004;0.1111111111111111;tls_knn_pca2_full_1
6;0.9453551912568307;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.09090909090909091;tls_knn_pca2_full_1
7;0.9344262295081968;0.14285714285714285;0.14285714285714285;0.14285714285714285;0.07692307692307693;tls_knn_pca2_full_1
8;0.9344262295081968;0.25;0.25;0.25;0.14285714285714285;tls_knn_pca2_full_1
9;0.9234972677595629;0.2222222222222222;0.2222222222222222;0.2222222222222222;0.125;tls_knn_pca2_full_1
10;0.912568306010929;0.2;0.2;0.20000000000000004;0.1111111111111111;tls_knn_pca2_full_1
11;0.912568306010929;0.2727272727272727;0.2727272727272727;0.2727272727272727;0.15789473684210525;tls_knn_pca2_full_1
12;0.9016393442622951;0.25;0.25;0.25;0.14285714285714285;tls_knn_pca2_full_1
13;0.8907103825136612;0.23076923076923078;0.23076923076923078;0.23076923076923078;0.13043478260869565;tls_knn_pca2_full_1
14;0.8797814207650273;0.21428571428571427;0.21428571428571427;0.21428571428571427;0.12;tls_knn_pca2_full_1
15;0.8797814207650273;0.26666666666666666;0.26666666666666666;0.26666666666666666;0.15384615384615385;tls_knn_pca2_full_1
1;0.9890710382513661;0.0;0.0;0.0;0.0;tls_pva_pca10_full_1
2;0.9890710382513661;0.5;0.5;0.5;0.3333333333333333;tls_pva_pca10_full_1
3;0.9781420765027322;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.2;tls_pva_pca10_full_1
4;0.9672131147540983;0.25;0.25;0.25;0.14285714285714285;tls_pva_pca10_full_1
5;0.9672131147540983;0.4;0.4;0.4000000000000001;0.25;tls_pva_pca10_full_1
6;0.9562841530054644;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.2;tls_pva_pca10_full_1
7;0.9453551912568307;0.2857142857142857;0.2857142857142857;0.2857142857142857;0.16666666666666666;tls_pva_pca10_full_1
8;0.9344262295081968;0.25;0.25;0.25;0.14285714285714285;tls_pva_pca10_full_1
9;0.9234972677595629;0.2222222222222222;0.2222222222222222;0.2222222222222222;0.125;tls_pva_pca10_full_1
10;0.912568306010929;0.2;0.2;0.20000000000000004;0.1111111111111111;tls_pva_pca10_full_1
11;0.912568306010929;0.2727272727272727;0.2727272727272727;0.2727272727272727;0.15789473684210525;tls_pva_pca10_full_1
12;0.912568306010929;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.2;tls_pva_pca10_full_1
13;0.9016393442622951;0.3076923076923077;0.3076923076923077;0.3076923076923077;0.18181818181818182;tls_pva_pca10_full_1
14;0.8907103825136612;0.2857142857142857;0.2857142857142857;0.2857142857142857;0.16666666666666666;tls_pva_pca10_full_1
15;0.8907103825136612;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.2;tls_pva_pca10_full_1
1;0.9890710382513661;0.0;0.0;0.0;0.0;tls_simple_prompt_full_1
2;0.9781420765027322;0.0;0.0;0.0;0.0;tls_simple_prompt_full_1
3;0.9672131147540983;0.0;0.0;0.0;0.0;tls_simple_prompt_full_1
4;0.9562841530054644;0.0;0.0;0.0;0.0;tls_simple_prompt_full_1
5;0.9562841530054644;0.2;0.2;0.20000000000000004;0.1111111111111111;tls_simple_prompt_full_1
6;0.9453551912568307;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.09090909090909091;tls_simple_prompt_full_1
7;0.9344262295081968;0.14285714285714285;0.14285714285714285;0.14285714285714285;0.07692307692307693;tls_simple_prompt_full_1
8;0.9344262295081968;0.25;0.25;0.25;0.14285714285714285;tls_simple_prompt_full_1
9;0.9344262295081968;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.2;tls_simple_prompt_full_1
10;0.9453551912568307;0.5;0.5;0.5;0.3333333333333333;tls_simple_prompt_full_1
11;0.9344262295081968;0.45454545454545453;0.45454545454545453;0.45454545454545453;0.29411764705882354;tls_simple_prompt_full_1
12;0.9234972677595629;0.4166666666666667;0.4166666666666667;0.4166666666666667;0.2631578947368421;tls_simple_prompt_full_1
13;0.912568306010929;0.38461538461538464;0.38461538461538464;0.38461538461538464;0.23809523809523808;tls_simple_prompt_full_1
14;0.9016393442622951;0.35714285714285715;0.35714285714285715;0.35714285714285715;0.21739130434782608;tls_simple_prompt_full_1
15;0.8907103825136612;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.2;tls_simple_prompt_full_1
1;0.9890710382513661;0.0;0.0;0.0;0.0;tls_rag_cot_full_1
2;0.9890710382513661;0.5;0.5;0.5;0.3333333333333333;tls_rag_cot_full_1
3;0.9781420765027322;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.2;tls_rag_cot_full_1
4;0.9672131147540983;0.25;0.25;0.25;0.14285714285714285;tls_rag_cot_full_1
5;0.9562841530054644;0.2;0.2;0.20000000000000004;0.1111111111111111;tls_rag_cot_full_1
6;0.9453551912568307;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.09090909090909091;tls_rag_cot_full_1
7;0.9344262295081968;0.14285714285714285;0.14285714285714285;0.14285714285714285;0.07692307692307693;tls_rag_cot_full_1
8;0.9344262295081968;0.25;0.25;0.25;0.14285714285714285;tls_rag_cot_full_1
9;0.9234972677595629;0.2222222222222222;0.2222222222222222;0.2222222222222222;0.125;tls_rag_cot_full_1
10;0.912568306010929;0.2;0.2;0.20000000000000004;0.1111111111111111;tls_rag_cot_full_1
11;0.912568306010929;0.2727272727272727;0.2727272727272727;0.2727272727272727;0.15789473684210525;tls_rag_cot_full_1
12;0.9016393442622951;0.25;0.25;0.25;0.14285714285714285;tls_rag_cot_full_1
13;0.8907103825136612;0.23076923076923078;0.23076923076923078;0.23076923076923078;0.13043478260869565;tls_rag_cot_full_1
14;0.8797814207650273;0.21428571428571427;0.21428571428571427;0.21428571428571427;0.12;tls_rag_cot_full_1
15;0.8688524590163934;0.2;0.2;0.20000000000000004;0.1111111111111111;tls_rag_cot_full_1
1;0.9890710382513661;0.0;0.0;0.0;0.0;tls_in_context_full_1
2;0.9781420765027322;0.0;0.0;0.0;0.0;tls_in_context_full_1
3;0.9781420765027322;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.2;tls_in_context_full_1
4;0.9672131147540983;0.25;0.25;0.25;0.14285714285714285;tls_in_context_full_1
5;0.9562841530054644;0.2;0.2;0.20000000000000004;0.1111111111111111;tls_in_context_full_1
6;0.9453551912568307;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.09090909090909091;tls_in_context_full_1
7;0.9344262295081968;0.14285714285714285;0.14285714285714285;0.14285714285714285;0.07692307692307693;tls_in_context_full_1
8;0.9234972677595629;0.125;0.125;0.125;0.06666666666666667;tls_in_context_full_1
9;0.912568306010929;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.058823529411764705;tls_in_context_full_1
10;0.912568306010929;0.2;0.2;0.20000000000000004;0.1111111111111111;tls_in_context_full_1
11;0.9016393442622951;0.18181818181818182;0.18181818181818182;0.18181818181818182;0.1;tls_in_context_full_1
12;0.8907103825136612;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.09090909090909091;tls_in_context_full_1
13;0.8907103825136612;0.23076923076923078;0.23076923076923078;0.23076923076923078;0.13043478260869565;tls_in_context_full_1
14;0.9016393442622951;0.35714285714285715;0.35714285714285715;0.35714285714285715;0.21739130434782608;tls_in_context_full_1
15;0.912568306010929;0.4666666666666667;0.4666666666666667;0.4666666666666667;0.30434782608695654;tls_in_context_full_1
1;0.96;0.0;0.0;0.0;0.0;wrc_knn_pca15_full_1
2;0.92;0.0;0.0;0.0;0.0;wrc_knn_pca15_full_1
3;0.88;0.0;0.0;0.0;0.0;wrc_knn_pca15_full_1
4;0.84;0.0;0.0;0.0;0.0;wrc_knn_pca15_full_1
5;0.8;0.0;0.0;0.0;0.0;wrc_knn_pca15_full_1
6;0.76;0.0;0.0;0.0;0.0;wrc_knn_pca15_full_1
7;0.72;0.0;0.0;0.0;0.0;wrc_knn_pca15_full_1
8;0.72;0.125;0.125;0.125;0.06666666666666667;wrc_knn_pca15_full_1
9;0.68;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.058823529411764705;wrc_knn_pca15_full_1
10;0.64;0.1;0.1;0.10000000000000002;0.05263157894736842;wrc_knn_pca15_full_1
11;0.68;0.2727272727272727;0.2727272727272727;0.2727272727272727;0.15789473684210525;wrc_knn_pca15_full_1
12;0.68;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.2;wrc_knn_pca15_full_1
13;0.64;0.3076923076923077;0.3076923076923077;0.3076923076923077;0.18181818181818182;wrc_knn_pca15_full_1
14;0.68;0.42857142857142855;0.42857142857142855;0.42857142857142855;0.2727272727272727;wrc_knn_pca15_full_1
15;0.72;0.5333333333333333;0.5333333333333333;0.5333333333333333;0.36363636363636365;wrc_knn_pca15_full_1
1;0.96;0.0;0.0;0.0;0.0;wrc_pva_pca20_full_1
2;0.92;0.0;0.0;0.0;0.0;wrc_pva_pca20_full_1
3;0.88;0.0;0.0;0.0;0.0;wrc_pva_pca20_full_1
4;0.88;0.25;0.25;0.25;0.14285714285714285;wrc_pva_pca20_full_1
5;0.84;0.2;0.2;0.20000000000000004;0.1111111111111111;wrc_pva_pca20_full_1
6;0.84;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.2;wrc_pva_pca20_full_1
7;0.84;0.42857142857142855;0.42857142857142855;0.42857142857142855;0.2727272727272727;wrc_pva_pca20_full_1
8;0.8;0.375;0.375;0.375;0.23076923076923078;wrc_pva_pca20_full_1
9;0.76;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.2;wrc_pva_pca20_full_1
10;0.76;0.4;0.4;0.4000000000000001;0.25;wrc_pva_pca20_full_1
11;0.76;0.45454545454545453;0.45454545454545453;0.45454545454545453;0.29411764705882354;wrc_pva_pca20_full_1
12;0.76;0.5;0.5;0.5;0.3333333333333333;wrc_pva_pca20_full_1
13;0.76;0.5384615384615384;0.5384615384615384;0.5384615384615384;0.3684210526315789;wrc_pva_pca20_full_1
14;0.8;0.6428571428571429;0.6428571428571429;0.6428571428571429;0.47368421052631576;wrc_pva_pca20_full_1
15;0.8;0.6666666666666666;0.6666666666666666;0.6666666666666666;0.5;wrc_pva_pca20_full_1
1;0.96;0.0;0.0;0.0;0.0;wrc_simple_prompt_full_1
2;0.96;0.5;0.5;0.5;0.3333333333333333;wrc_simple_prompt_full_1
3;0.96;0.6666666666666666;0.6666666666666666;0.6666666666666666;0.5;wrc_simple_prompt_full_1
4;0.96;0.75;0.75;0.75;0.6;wrc_simple_prompt_full_1
5;0.92;0.6;0.6;0.6;0.42857142857142855;wrc_simple_prompt_full_1
6;0.92;0.6666666666666666;0.6666666666666666;0.6666666666666666;0.5;wrc_simple_prompt_full_1
7;0.92;0.7142857142857143;0.7142857142857143;0.7142857142857143;0.5555555555555556;wrc_simple_prompt_full_1
8;0.92;0.75;0.75;0.75;0.6;wrc_simple_prompt_full_1
9;0.92;0.7777777777777778;0.7777777777777778;0.7777777777777778;0.6363636363636364;wrc_simple_prompt_full_1
10;0.92;0.8;0.8;0.8000000000000002;0.6666666666666666;wrc_simple_prompt_full_1
11;0.92;0.8181818181818182;0.8181818181818182;0.8181818181818182;0.6923076923076923;wrc_simple_prompt_full_1
12;0.92;0.8333333333333334;0.8333333333333334;0.8333333333333334;0.7142857142857143;wrc_simple_prompt_full_1
13;0.92;0.8461538461538461;0.8461538461538461;0.8461538461538461;0.7333333333333333;wrc_simple_prompt_full_1
14;0.92;0.8571428571428571;0.8571428571428571;0.8571428571428571;0.75;wrc_simple_prompt_full_1
15;0.92;0.8666666666666667;0.8666666666666667;0.8666666666666667;0.7647058823529411;wrc_simple_prompt_full_1
1;0.96;0.0;0.0;0.0;0.0;wrc_rag_cot_full_1
2;0.92;0.0;0.0;0.0;0.0;wrc_rag_cot_full_1
3;0.88;0.0;0.0;0.0;0.0;wrc_rag_cot_full_1
4;0.84;0.0;0.0;0.0;0.0;wrc_rag_cot_full_1
5;0.8;0.0;0.0;0.0;0.0;wrc_rag_cot_full_1
6;0.76;0.0;0.0;0.0;0.0;wrc_rag_cot_full_1
7;0.72;0.0;0.0;0.0;0.0;wrc_rag_cot_full_1
8;0.72;0.125;0.125;0.125;0.06666666666666667;wrc_rag_cot_full_1
9;0.68;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.058823529411764705;wrc_rag_cot_full_1
10;0.68;0.2;0.2;0.20000000000000004;0.1111111111111111;wrc_rag_cot_full_1
11;0.68;0.2727272727272727;0.2727272727272727;0.2727272727272727;0.15789473684210525;wrc_rag_cot_full_1
12;0.68;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.2;wrc_rag_cot_full_1
13;0.72;0.46153846153846156;0.46153846153846156;0.46153846153846156;0.3;wrc_rag_cot_full_1
14;0.72;0.5;0.5;0.5;0.3333333333333333;wrc_rag_cot_full_1
15;0.68;0.4666666666666667;0.4666666666666667;0.4666666666666667;0.30434782608695654;wrc_rag_cot_full_1
1;0.96;0.0;0.0;0.0;0.0;wrc_in_context_full_1
2;0.96;0.5;0.5;0.5;0.3333333333333333;wrc_in_context_full_1
3;0.92;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.2;wrc_in_context_full_1
4;0.92;0.5;0.5;0.5;0.3333333333333333;wrc_in_context_full_1
5;0.88;0.4;0.4;0.4000000000000001;0.25;wrc_in_context_full_1
6;0.84;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.2;wrc_in_context_full_1
7;0.8;0.2857142857142857;0.2857142857142857;0.2857142857142857;0.16666666666666666;wrc_in_context_full_1
8;0.76;0.25;0.25;0.25;0.14285714285714285;wrc_in_context_full_1
9;0.76;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.2;wrc_in_context_full_1
10;0.76;0.4;0.4;0.4000000000000001;0.25;wrc_in_context_full_1
11;0.76;0.45454545454545453;0.45454545454545453;0.45454545454545453;0.29411764705882354;wrc_in_context_full_1
12;0.8;0.5833333333333334;0.5833333333333334;0.5833333333333334;0.4117647058823529;wrc_in_context_full_1
13;0.8;0.6153846153846154;0.6153846153846154;0.6153846153846154;0.4444444444444444;wrc_in_context_full_1
14;0.84;0.7142857142857143;0.7142857142857143;0.7142857142857143;0.5555555555555556;wrc_in_context_full_1
15;0.88;0.8;0.8;0.8000000000000002;0.6666666666666666;wrc_in_context_full_1
